%, jaw1 [mN], jaw2 [mN], time [ms], gripForce [mN]
DATA,0.3833,0.0237,25347,0.4071
DATA,0.3644,-0.0130,25371,0.3514
DATA,0.3616,-0.0059,25396,0.3557
DATA,0.2621,0.0826,25433,0.3447
DATA,0.2167,0.1253,25457,0.3420
DATA,0.3024,-0.0061,25482,0.2964
DATA,0.2066,-0.0237,25507,0.1829
DATA,0.3619,-0.0517,25531,0.3102
DATA,0.3212,0.0833,25556,0.4044
DATA,0.3669,-0.1289,25580,0.2380
DATA,0.2772,0.0619,25605,0.3391
DATA,0.4415,0.0478,25630,0.4893
DATA,0.3341,0.0186,25654,0.3527
DATA,0.4350,-0.0004,25679,0.4346
DATA,0.3520,-0.0549,25703,0.2971
DATA,0.3372,-0.0146,25728,0.3225
DATA,0.3468,0.0355,25765,0.3822
DATA,0.2730,-0.0322,25789,0.2409
DATA,0.3291,-0.0095,25814,0.3196
DATA,0.3759,-0.0005,25839,0.3755
DATA,0.2700,0.0081,25863,0.2781
DATA,0.3266,0.1256,25888,0.4522
DATA,0.3022,0.1335,25912,0.4357
DATA,0.2928,0.0498,25937,0.3426
DATA,0.2421,0.0454,25961,0.2876
DATA,0.4121,-0.0869,25986,0.3251
DATA,0.3542,-0.0988,26011,0.2555
DATA,0.3476,-0.0722,26035,0.2754
DATA,0.3486,-0.0192,26060,0.3294
DATA,0.3650,0.0327,26084,0.3978
DATA,0.3311,-0.0443,26121,0.2868
DATA,0.2113,0.0561,26146,0.2674
DATA,0.3336,-0.0239,26170,0.3098
DATA,0.4125,-0.0589,26195,0.3535
DATA,0.3679,0.1713,26220,0.5391
DATA,0.3204,0.1373,26244,0.4577
DATA,0.3487,0.0433,26269,0.3920
DATA,0.3282,0.0185,26293,0.3467
DATA,0.3358,-0.0561,26318,0.2797
DATA,0.4390,-0.0032,26343,0.4358
DATA,0.4178,-0.0221,26367,0.3957
DATA,0.3400,-0.0044,26392,0.3356
DATA,0.3475,0.0516,26416,0.3991
DATA,0.3566,-0.0022,26453,0.3544
DATA,0.4156,-0.1341,26478,0.2815
DATA,0.2129,0.0481,26502,0.2610
DATA,0.3238,0.0341,26527,0.3580
DATA,0.3414,-0.0704,26552,0.2710
DATA,0.3775,0.0434,26576,0.4209
DATA,0.3861,0.0074,26601,0.3935
DATA,0.3073,0.0218,26625,0.3292
DATA,0.3937,0.0173,26650,0.4109
DATA,0.3802,-0.0431,26675,0.3372
DATA,0.2829,-0.0442,26699,0.2387
DATA,0.4266,-0.0519,26724,0.3746
DATA,0.3551,-0.0073,26748,0.3479
DATA,0.3422,-0.1077,26773,0.2345
DATA,0.3683,0.0351,26810,0.4034
DATA,0.2393,0.1190,26834,0.3583
DATA,0.1659,-0.0241,26859,0.1419
DATA,0.1170,0.0038,26884,0.1208
DATA,0.2031,0.0415,26908,0.2447
DATA,0.1713,0.1558,26933,0.3271
DATA,0.1192,0.2262,26957,0.3454
DATA,0.2100,-0.0141,26982,0.1959
DATA,0.2340,0.0305,27007,0.2645
DATA,0.1535,0.0127,27031,0.1662
DATA,0.1524,0.0279,27056,0.1803
DATA,0.1814,0.0203,27080,0.2017
DATA,1.6885,-0.0013,27105,1.6872
DATA,5.0991,-0.0457,27130,5.0533
DATA,6.1620,-0.0697,27166,6.0923
DATA,7.0187,0.0709,27191,7.0896
DATA,7.6266,0.0312,27216,7.6578
DATA,7.2097,0.0322,27240,7.2419
DATA,7.0129,0.0511,27265,7.0640
DATA,7.3706,0.0463,27289,7.4170
DATA,8.0586,-0.0554,27314,8.0033
DATA,8.7362,0.0613,27339,8.7975
DATA,9.5499,0.1097,27363,9.6596
DATA,10.1737,0.0893,27388,10.2630
DATA,10.5973,-0.0181,27412,10.5792
DATA,11.4575,-0.1001,27437,11.3575
DATA,11.6106,-0.0481,27462,11.5625
DATA,11.9100,0.0282,27498,11.9382
DATA,12.0158,0.0079,27523,12.0237
DATA,11.2108,0.0372,27548,11.2480
DATA,9.6569,0.0374,27572,9.6943
DATA,7.7341,0.0024,27597,7.7365
DATA,6.0495,-0.0466,27621,6.0029
DATA,4.5594,0.0108,27646,4.5702
DATA,3.1341,0.0954,27671,3.2294
DATA,2.3193,0.0466,27695,2.3659
DATA,2.5539,0.0472,27720,2.6011
DATA,2.3386,-0.0584,27744,2.2802
DATA,2.3436,0.0834,27769,2.4269
DATA,2.4148,-0.0063,27794,2.4085
DATA,2.3686,-0.1269,27818,2.2416
DATA,2.3897,0.0575,27855,2.4472
DATA,2.3140,-0.0157,27880,2.2983
DATA,2.2222,-0.0044,27904,2.2177
DATA,2.3567,-0.0283,27929,2.3284
DATA,2.3845,0.0525,27953,2.4371
DATA,2.3208,0.0003,27978,2.3211
DATA,2.3564,0.0428,28003,2.3992
DATA,2.3231,0.0276,28027,2.3506
DATA,2.2611,-0.0936,28052,2.1675
DATA,2.2349,-0.0108,28076,2.2240
DATA,2.2617,-0.0424,28101,2.2193
DATA,2.3096,0.0309,28126,2.3406
DATA,2.2451,-0.0229,28150,2.2222
DATA,2.2548,0.0345,28175,2.2893
DATA,2.3239,-0.1262,28212,2.1977
DATA,2.3201,-0.0743,28236,2.2458
DATA,2.4928,0.0141,28261,2.5069
DATA,2.5133,0.1444,28285,2.6577
DATA,2.5158,0.0427,28310,2.5586
DATA,2.6394,0.0426,28335,2.6820
DATA,3.7131,-0.2057,28359,3.5074
DATA,4.2793,0.0210,28384,4.3003
DATA,4.7557,0.0878,28408,4.8434
DATA,4.0509,-0.0804,28433,3.9705
DATA,3.7165,0.0154,28458,3.7318
DATA,3.9412,0.0395,28482,3.9807
DATA,4.4935,0.1378,28507,4.6313
DATA,5.0811,0.0226,28544,5.1037
DATA,5.6841,0.0475,28568,5.7315
DATA,4.6112,0.0204,28593,4.6316
DATA,3.1041,0.0088,28617,3.1130
DATA,3.3478,0.0422,28642,3.3900
DATA,4.0448,0.1503,28667,4.1951
DATA,4.7687,-0.0257,28691,4.7430
DATA,5.1389,-0.0107,28716,5.1282
DATA,4.7743,0.0652,28740,4.8395
DATA,3.9635,0.0881,28765,4.0516
DATA,4.0561,0.0747,28790,4.1308
DATA,5.3501,0.0521,28814,5.4021
DATA,7.1434,-0.0217,28839,7.1217
DATA,7.4804,-0.0079,28863,7.4725
DATA,7.0287,0.0249,28900,7.0536
DATA,6.7360,-0.0664,28925,6.6696
DATA,5.4655,0.1435,28949,5.6090
DATA,3.5773,0.0185,28974,3.5957
DATA,2.7328,0.0688,28999,2.8017
DATA,3.0121,-0.0871,29023,2.9249
DATA,2.8050,-0.1165,29048,2.6885
DATA,2.4571,0.0308,29072,2.4880
DATA,2.2121,0.0545,29097,2.2666
DATA,2.2451,-0.0055,29122,2.2395
DATA,2.2984,-0.1018,29146,2.1966
DATA,2.3371,-0.1475,29171,2.1895
DATA,2.3480,0.0167,29195,2.3647
DATA,2.3767,-0.0409,29220,2.3358
DATA,2.3330,-0.0356,29257,2.2973
DATA,2.2002,0.0430,29281,2.2432
DATA,2.2113,-0.0291,29306,2.1823
DATA,2.2396,0.1738,29331,2.4135
DATA,2.3582,0.0162,29355,2.3743
DATA,2.1897,-0.0736,29380,2.1161
DATA,2.3092,0.0216,29404,2.3308
DATA,2.4041,0.0122,29429,2.4162
DATA,2.6340,-0.0001,29454,2.6339
DATA,3.0106,-0.0413,29478,2.9693
DATA,3.4178,-0.0585,29503,3.3593
DATA,4.0159,0.1107,29527,4.1266
DATA,5.0927,-0.0345,29552,5.0582
DATA,5.1811,0.1170,29589,5.2981
DATA,4.2430,0.0016,29613,4.2446
DATA,4.3494,0.1019,29638,4.4514
DATA,5.6875,0.0433,29663,5.7308
DATA,6.2599,-0.0176,29687,6.2422
DATA,5.6720,-0.0308,29712,5.6412
DATA,4.5241,0.1516,29736,4.6757
DATA,4.4316,0.0672,29761,4.4988
DATA,5.2635,0.0702,29785,5.3337
DATA,5.0536,0.0081,29810,5.0616
DATA,3.0105,0.0911,29835,3.1016
DATA,1.6838,0.0651,29859,1.7489
DATA,2.3487,0.0888,29884,2.4375
DATA,2.8892,0.1266,29908,3.0158
DATA,2.7927,0.0986,29945,2.8912
DATA,3.5207,-0.0218,29970,3.4989
DATA,4.4474,-0.0186,29995,4.4289
DATA,3.8480,-0.1208,30019,3.7272
DATA,3.0107,0.1246,30044,3.1353
DATA,2.5499,-0.0554,30068,2.4945
DATA,2.2916,-0.1141,30093,2.1776
DATA,2.2538,0.1098,30117,2.3636
DATA,2.1982,0.0275,30142,2.2257
DATA,2.2228,0.0159,30167,2.2387
DATA,2.2845,0.0846,30191,2.3691
DATA,2.2151,-0.0098,30216,2.2053
DATA,2.2435,-0.0777,30240,2.1658
DATA,2.3093,-0.0479,30277,2.2614
DATA,2.3253,-0.0487,30302,2.2765
DATA,2.1943,0.0609,30327,2.2552
DATA,2.1936,0.0303,30351,2.2239
DATA,2.2403,0.0652,30376,2.3055
DATA,2.3661,0.0386,30400,2.4047
DATA,2.9402,-0.1099,30425,2.8303
DATA,3.6048,-0.0202,30449,3.5846
DATA,4.1030,0.0385,30474,4.1415
DATA,4.3112,0.0462,30499,4.3573
DATA,4.5021,0.0446,30523,4.5467
DATA,4.6665,0.0330,30548,4.6995
DATA,4.5806,-0.0591,30572,4.5215
DATA,4.7905,0.0705,30597,4.8610
DATA,4.4637,-0.0445,30634,4.4193
DATA,5.2005,0.0245,30659,5.2251
DATA,6.9629,0.0073,30683,6.9703
DATA,7.5209,0.0751,30708,7.5960
DATA,7.7050,0.0461,30732,7.7511
DATA,7.1078,0.0212,30757,7.1290
DATA,7.1712,-0.0282,30782,7.1430
DATA,7.5413,-0.0253,30806,7.5160
DATA,7.6300,0.0301,30831,7.6601
DATA,5.7973,-0.0335,30855,5.7638
DATA,3.5903,0.0803,30880,3.6705
DATA,3.2015,-0.0703,30904,3.1313
DATA,5.2039,0.0162,30929,5.2201
DATA,7.7058,-0.0466,30954,7.6592
DATA,8.4445,-0.0498,30991,8.3947
DATA,7.9349,-0.0082,31015,7.9266
DATA,7.9492,0.1038,31040,8.0530
DATA,8.0502,-0.0375,31064,8.0127
DATA,6.4038,0.1162,31089,6.5199
DATA,4.7211,0.0232,31114,4.7443
DATA,5.0782,0.0289,31138,5.1071
DATA,5.3055,0.0439,31163,5.3493
DATA,4.2965,0.0352,31187,4.3318
DATA,4.4903,0.0772,31212,4.5675
DATA,6.0785,-0.0439,31237,6.0346
DATA,6.0591,0.1684,31261,6.2275
DATA,2.5804,-0.0049,31286,2.5755
DATA,-0.0630,-0.0264,31323,-0.0894
DATA,0.4436,0.1114,31347,0.5550
DATA,1.4439,-0.0055,31372,1.4384
DATA,2.2965,-0.0237,31396,2.2729
DATA,1.1708,-0.0060,31421,1.1648
DATA,2.2476,0.0808,31446,2.3285
DATA,2.1194,0.0314,31470,2.1508
DATA,2.0399,0.0276,31495,2.0675
DATA,2.2349,0.0078,31519,2.2427
DATA,2.1042,-0.0483,31544,2.0559
DATA,2.0061,-0.0357,31568,1.9704
DATA,2.2102,0.0337,31593,2.2439
DATA,2.1438,0.0183,31618,2.1621
DATA,2.0491,-0.0527,31642,1.9964
DATA,2.1491,-0.0070,31679,2.1421
DATA,2.0672,0.0149,31704,2.0821
DATA,2.0605,-0.0849,31728,1.9756
DATA,2.0832,0.0574,31753,2.1406
DATA,2.3055,-0.0854,31778,2.2200
DATA,2.7491,0.0194,31802,2.7684
DATA,3.3262,-0.1011,31827,3.2251
DATA,4.3395,0.0485,31851,4.3879
DATA,5.6113,-0.0288,31876,5.5825
DATA,5.9470,-0.0004,31900,5.9466
DATA,5.9319,-0.0051,31925,5.9269
DATA,6.1836,0.0498,31950,6.2334
DATA,6.2865,0.1009,31974,6.3875
DATA,5.2801,0.0359,31999,5.3161
DATA,5.3130,-0.0112,32036,5.3018
DATA,5.3004,-0.0522,32060,5.2483
DATA,5.3921,0.0231,32085,5.4152
DATA,6.1614,-0.0484,32110,6.1130
DATA,7.3163,0.0441,32134,7.3604
